"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","142","@prod page refresh does not cause 404 on any route","chromium","2026-08-11","skipped","2026-08-11","@prod Production Validation","prod-smoke.spec.ts","",""
"","145","@prod @critical admin can login and see dashboard","chromium","2026-08-11","skipped","2026-08-11","@prod Production Validation","prod-smoke.spec.ts","",""
"","379","@prod admin nav shows correct items","chromium","2026-08-11","skipped","2026-08-11","@prod Production Validation","prod-smoke.spec.ts","",""
"","685","@prod page loads and login form is visible","chromium","2026-08-11","skipped","2026-08-11","@prod Production Validation","prod-smoke.spec.ts","",""
"","148","@prod @critical student cannot access admin","chromium","2026-08-11","skipped","2026-08-11","@prod Production Validation","prod-smoke.spec.ts","",""
"","104","@prod browser back button does not cause 404","chromium","2026-08-11","skipped","2026-08-11","@prod Production Validation","prod-smoke.spec.ts","",""
